16,5,"D15 â€“ Cold stress (slow growth, low feeding)",?,PASS,?,?,?,?,PASS,?,PASS,?,?,?,PASS,?,PASS,?,?,?,	
17,3,D16 â€“ Heat stress (high temp + Oâ‚‚ demand),PASS,?,?,PASS,?,?,?,PASS,?,?,?,?,?,?,?,?,?,?,	
18,2,D17 â€“ Overfeeding → organic overload,PASS,?,?,PASS,PASS,?,?,?,?,PASS,PASS,?,?,?,?,?,?,?,	
19,4,"D18 â€“ Underfeeding (high DO, slow growth)",?,PASS,?,?,?,?,?,?,PASS,?,?,PASS,PASS,?,PASS,?,?,?,	
20,1,D19 â€“ Overcrowding / high density stunting,?,?,?,?,?,?,?,?,?,?,?,?,PASS,?,?,?,?,?,	
21,1,D20 â€“ Disease / pathogen-driven mortality,FAIL,?,?,?,FAIL,FAIL,?,?,?,PASS,PASS,?,PASS,?,?,?,?,?,	
22,1,D21 â€“ Under-loaded system (too much aeration for biomass),?,PASS,?,PASS,?,?,?,?,PASS,?,?,PASS,?,?,PASS,?,?,?,	
23,1,"D22 â€“ Early cycle, stable (startup safe state)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,?,?,?,	
24,1,"D23 â€“ Early-cycle overfeeding (low biomass, fish still small)",?,?,?,?,?,?,?,?,PASS,FAIL,?,PASS,PASS,FAIL,FAIL,?,?,?,	
25,2,D24 â€“ Low DO + low pH with modest feed: carbon overdose / heavy floc,PASS,FAIL,FAIL,PASS,PASS,FAIL,?,?,?,?,?,?,?,?,PASS,?,?,?,	
26,3,D25 â€“ Chronic borderline DO at high biomass (pre-failure),PASS,FAIL,FAIL,PASS,?,?,?,?,PASS,FAIL,?,PASS,?,PASS,?,?,?,?,	
27,3,"D26 â€“ Handling/harvest stress (short-term deaths, heavy fish)",FAIL,?,?,?,FAIL,FAIL,FAIL,FAIL,?,PASS,PASS,FAIL,?,PASS,?,?,?,?,	
28,4,D27 â€“ Cage/flow restriction (blower OK but local low DO & deaths),PASS,FAIL,FAIL,PASS,?,?,?,?,?,PASS,PASS,FAIL,?,PASS,?,?,?,?,	
29,4,"D28 â€“ Mechanical aeration failure (blower/inlet problem, no outage)",PASS,FAIL,PASS,FAIL,?,?,?,?,?,PASS,PASS,FAIL,?,?,?,?,?,?,	
30,1,"D29 â€“ Hidden biomass / under-sampled weight (many fish, small size, DO borderline)",PASS,?,?,?,?,?,?,?,PASS,FAIL,?,PASS,PASS,FAIL,?,?,?,?,	
31,3,D30 â€“ Legacy low survival (past event	 todayâ€™s water & deaths normal),FAIL,?,?,?,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,?,?,?,?,
32,5,"D31 â€“ Feed distribution issue (fish not eating, leftover feed, DO high)",FAIL,PASS,?,?,?,?,?,?,?,?,?,PASS,PASS,FAIL,?,?,?,?,	
33,2,"D32 â€“ Mild Low DO, no stress yet (early warning)",PASS,?,?,?,?,?,?,?,PASS,?,?,PASS,?,?,?,?,?,?,	
34,3,D33 â€“ Acute Low DO with sharp mortality spike,PASS,?,?,?,?,?,?,?,?,PASS,PASS,FAIL,?,?,?,?,?,?,	
35,4,"D34 â€“ Near-capacity pond, DO borderline from load (pre-crash)",PASS,?,FAIL,PASS,?,?,?,?,PASS,?,?,PASS,?,PASS,?,?,?,?,	
36,1,"D35 â€“ Low pH + heavy feeding, but no mortality yet (buffer depletion warning)",?,?,?,?,PASS,?,?,?,PASS,?,?,PASS,?,?,?,?,?,?,	
37,1,"D36 â€“ High pH only, stable so far (monitor TAN)",?,?,?,?,?,PASS,?,?,PASS,?,?,PASS,?,?,?,?,?,?,	
38,1,D37â€“ High pH + deaths with high feed (likely ammonia toxicity),?,?,?,?,?,PASS,?,?,?,PASS,PASS,FAIL,?,?,?,?,?,?,	
39,1,D38 â€“ Good survival but operator underfeeding (conservative feeding),?,?,?,?,?,?,?,?,PASS,?,?,PASS,?,?,PASS,?,?,?,	
40,1,D39 â€“ Underfeeding at low biomass	 startup stocking too low,?,?,?,?,?,?,?,?,PASS,?,?,PASS,PASS,FAIL,FAIL,?,?,?,
41,1,"D40 â€“ Heavy biomass and deaths, but DO/pH/Temp normal (density-driven stress)",?,?,?,?,?,?,?,?,?,PASS,PASS,FAIL,PASS,FAIL,FAIL,?,?,?,	
42,1,"D41 â€“ Post-outage bounce: deaths from earlier event, env now normal",?,?,?,?,?,?,?,?,?,PASS,PASS,FAIL,?,?,?,?,?,?,	
43,1,D42 â€“ Historical poor SR (legacy issue	 current env & deaths OK),FAIL,FAIL,?,?,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,?,?,?,?,?,?,
44,1,"D43 â€“ Good survival, heavy fish, biomass high: close to harvest",?,?,?,?,?,?,?,?,PASS,FAIL,?,PASS,FAIL,PASS,?,?,?,?,	
45,1,D44 â€“ Generic Nitrogen Accumulation,?,PASS,?,PASS,?,FAIL,?,PASS,PASS,FAIL,FAIL,PASS,?,FAIL,PASS,FAIL,PASS,FAIL,	
46,1,D45 â€“ Suspected Nitrite Toxicity,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,?,PASS,FAIL,PASS,FAIL,?,FAIL,PASS,FAIL,PASS,PASS,PASS,	
47,1,D46 â€“ Heterotrophic Bloom Carbon Overdose,PASS,FAIL,FAIL,PASS,PASS,FAIL,?,PASS,FAIL,FAIL,PASS,?,FAIL,PASS,FAIL,PASS,PASS,PASS,	
48,1,D47 â€“ Floc Collapse with DO Crash,PASS,FAIL,FAIL,PASS,?,FAIL,?,PASS,FAIL,PASS,FAIL,?,FAIL,PASS,PASS,PASS,PASS,PASS,	
49,1,D48 â€“ Algal Crash Post Spike,PASS,FAIL,FAIL,PASS,PASS,FAIL,?,PASS,FAIL,PASS,FAIL,?,FAIL,PASS,PASS,PASS,PASS,PASS,	
50,1,D49 â€“ Old Sludge Oxygen Demand,PASS,FAIL,FAIL,PASS,?,FAIL,?,FAIL,PASS,FAIL,PASS,?,FAIL,PASS,PASS,PASS,FAIL,PASS,	
51,1,D50 â€“ Thermal Stratification,PASS,FAIL,FAIL,PASS,?,FAIL,PASS,FAIL,FAIL,FAIL,PASS,?,FAIL,PASS,PASS,PASS,PASS,PASS,	
52,1,D51 â€“ Oxygen Debt Post Feeding,PASS,FAIL,FAIL,PASS,?,FAIL,?,PASS,FAIL,FAIL,PASS,?,FAIL,PASS,PASS,FAIL,PASS,PASS,	
53,1,D52 â€“ Pump Cavitation / Air Restriction,PASS,FAIL,FAIL,PASS,?,FAIL,?,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,	
54,1,D53 â€“ Undersized Blower Structural Limit,PASS,FAIL,PASS,FAIL,?,FAIL,?,PASS,FAIL,PASS,FAIL,?,FAIL,PASS,PASS,FAIL,PASS,PASS,	
55,1,D54 â€“ Underloaded Young Pond,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,	
56,1,D54 â€“ Cold Snap Low Appetite,FAIL,PASS,FAIL,FAIL,?,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,	
57,1,D55 â€“ Heat Wave DO Managed,FAIL,PASS,FAIL,PASS,?,FAIL,?,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,	
58,1,D56 â€“ High Density Growth Stunting,FAIL,PASS,FAIL,PASS,FAIL,FAIL,?,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,?,PASS,	
59,1,D57 â€“ Early Cycle Microbial Instability,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,	
60,1,D58 â€“ Late Cycle Old Floc Syndrome,PASS,FAIL,FAIL,PASS,PASS,FAIL,?,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,	
61,1,D59 â€“ Power Outage Lag Mortality,FAIL,PASS,FAIL,PASS,FAIL,FAIL,?,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,	
62,1,D60 â€“ Post Treatment Stress,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS,	
63,1,D61 â€“ Chronic Low Level Stress,FAIL,PASS,FAIL,PASS,PASS,FAIL,?,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,?,PASS,	
64,1,D62 â€“ DO Sensor Offset,PASS,FAIL,FAIL,FAIL,?,FAIL,?,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,	
65,1,test,,,,,,,,,,,,,,,,,,,	
